date, pm25, pm10, o3, no2, so2
2020/3/12, 25, 10, 28, 2, 
2020/3/13, 25, 9, 26, 8, 
2020/3/14, 23, 7, 24, 3, 
2020/3/15, 20, 4, 28, 5, 
2020/3/16, 12, 8, 26, 6, 
2020/3/17, 22, 6, 23, 3, 
2020/3/18, 15, 5, 21, 10, 
2020/3/19, 15, 8, 24, 9, 
2020/3/20, 22, 10, 25, 4, 
2020/3/21, 25, 10, 28, 3, 
2020/3/22, 24, 14, 25, 4, 
2020/3/23, 43, 19, 24, 11, 
2020/3/24, 52, 27, 26, 7, 
2020/3/25, 68, 29, 33, 9, 
2020/3/26, 76, 34, 34, 10, 
2020/3/27, 81, 42, 39, 6, 
2020/3/28, 97, 16, 33, 3, 
2020/3/29, 40, 13, 29, 2, 
2020/3/30, 27, , , , 
2019/10/2, 15, 9, 23, 12, 
2019/10/3, 24, 10, 25, 10, 
2019/10/4, 28, 11, 23, 6, 
2019/10/5, 27, 11, 18, 7, 
2019/10/6, 27, 6, 30, 3, 
2019/10/7, 14, 7, 21, 6, 
2019/10/8, 19, 11, 29, 3, 
2019/10/9, 25, 9, 26, 3, 
2019/10/10, 18, 10, 22, 3, 
2019/10/11, 21, 6, 27, 4, 
2019/10/12, 12, 7, 23, 4, 
2019/10/13, 17, 4, 27, 4, 
2019/10/14, 10, 5, 22, 7, 
2019/10/15, 12, 9, 19, 8, 
2019/10/16, 30, 8, 26, 8, 
2019/10/17, 18, 11, 24, 11, 
2019/10/18, 20, 4, 29, 7, 
2019/10/19, 11, 6, 27, 9, 
2019/10/20, 15, 7, 22, 10, 
2019/10/21, 22, 8, 23, 12, 
2019/10/22, 20, 10, 19, 14, 
2019/10/23, 30, 13, 16, 16, 
2019/10/24, 45, 14, 14, 12, 
2019/10/25, 45, 6, 30, 8, 
2019/10/26, 14, 4, 18, 15, 
2019/10/27, 14, 10, 29, 12, 
2019/10/28, 22, 12, 17, 19, 
2019/10/29, 35, 12, 25, 15, 
2019/10/30, 34, 13, 23, 15, 
2019/10/31, 40, 25, 15, 16, 
2019/11/1, 69, 7, 21, 10, 
2019/11/2, 19, 7, 28, 7, 
2019/11/3, 19, 12, 22, 10, 
2019/11/4, 40, 14, 18, 14, 
2019/11/5, 37, 11, 18, 14, 
2019/11/6, 35, 25, 15, 16, 
2019/11/7, 61, 8, 19, 15, 
2019/11/8, 26, 8, 21, 16, 
2019/11/9, 23, 12, 17, 15, 
2019/11/10, 42, 9, 27, 12, 
2019/11/11, 24, 8, 29, 8, 
2019/11/12, 22, 7, 28, 10, 
2019/11/13, 16, 8, 22, 14, 
2019/11/14, 19, 5, 23, 9, 
2019/11/15, 15, 9, 23, 9, 
2019/11/16, 28, 14, 19, 11, 
2019/11/17, 48, 13, 18, 9, 
2019/11/18, 44, 14, 15, 19, 
2019/11/19, 42, 17, 9, 16, 
2019/11/20, 57, 10, 22, 9, 
2019/11/21, 32, 23, 16, 12, 
2019/11/22, 71, 10, 21, 10, 
2019/11/23, 34, 16, 14, 11, 
2019/11/24, 55, 22, 7, 10, 
2019/11/25, 66, 6, 20, 7, 
2019/11/26, 20, 10, 25, 6, 
