date, pm25, o3, no2, co
2019/8/17, 63, 16, , 79
2019/8/18, 56, 15, , 84
2019/8/19, 64, 16, , 85
2019/8/20, 72, 17, , 85
2019/8/21, 83, 17, , 84
2019/8/22, 76, 17, , 84
2019/8/23, 82, 17, , 82
2019/8/24, 70, 15, , 82
2019/8/25, 68, 16, , 83
2019/8/26, 68, 16, , 85
2019/8/27, 77, 17, , 85
2019/8/28, 74, 15, , 83
2019/8/29, 72, 16, , 83
2019/8/30, 92, 15, , 78
2019/8/31, 76, 16, , 77
2019/9/1, 80, 17, , 80
2019/9/2, 82, 15, , 81
2019/9/3, 93, 16, , 91
2019/9/4, 104, 16, , 89
2019/9/5, 97, 16, , 76
2019/9/6, 85, 17, , 75
2019/9/7, 93, 18, , 80
2019/9/8, 89, 15, , 79
2019/9/9, 87, 14, , 78
2019/9/10, 98, 13, , 74
2019/9/11, 111, 13, , 70
2019/9/12, 86, 13, , 74
2019/9/13, 83, 14, , 
2019/9/14, 80, 15, , 
2019/9/15, 89, 15, , 
2019/9/16, 98, 15, , 
2019/9/17, 89, 15, , 
2019/9/18, 82, 16, , 
2019/9/19, 95, , , 
2019/9/21, 115, 17, , 
2019/9/22, 117, 18, , 
2019/9/23, 109, 16, , 
2019/9/24, 99, 15, , 
2019/9/25, 96, , , 
2019/9/29, 99, 14, , 
2019/9/30, 109, 15, , 
2019/10/1, 104, 13, , 
2019/4/2, , , , 
2019/4/8, , , , 
2019/4/9, , , , 
2019/4/10, , , , 
2019/4/11, , , , 
2019/4/12, , , , 
2019/4/13, , , , 
2019/4/14, , , , 
2019/4/15, , , , 
2019/4/16, , , , 
2019/4/17, , , , 
2019/4/18, , , , 
2019/4/20, , , , 
2019/4/21, , , , 
2019/4/29, , , , 
2019/5/17, , , , 
2019/5/19, , , , 
2019/5/21, , , , 
2019/5/22, , , , 
2019/5/23, , , , 
2019/5/24, , , , 
2019/5/25, , , , 
2019/5/26, , , , 
2019/5/27, , , , 
2019/5/28, , , , 
2019/6/18, 58, , , 
2019/6/19, 78, , , 
2019/6/20, 83, , , 
2019/1/2, , , , 
2019/1/3, , , , 
2019/1/4, , , , 
2019/1/5, , , , 
2019/1/6, , , , 
2019/1/7, , , , 
2019/1/8, , , , 
2019/1/9, , , , 
2019/1/10, , , , 
2019/1/11, , , , 
2019/1/12, , , , 
2019/1/13, , , , 
2019/1/14, , , , 
2019/1/15, , , , 
2019/1/16, , , , 
2019/1/17, , , , 
2019/1/18, , , , 
2019/1/19, , , , 
2019/1/20, , , , 
2019/1/21, , , , 
2019/1/22, , , , 
2019/1/23, , , , 
2019/1/24, , , , 
2019/1/25, , , , 
2019/1/26, , , , 
2019/1/27, , , , 
2019/1/28, , , , 
2019/1/29, , , , 
2019/1/30, , , , 
2019/1/31, , , , 
2019/2/1, , , , 
2019/2/2, , , , 
2019/2/3, , , , 
2019/2/4, , , , 
2019/2/5, , , , 
