date, pm25, o3, no2, so2, co
2018/7/25, 30, 11, 2, , 
2018/7/26, 31, 12, 7, , 
2018/7/27, 40, 15, 4, , 
2018/7/28, 40, 17, 5, , 
2018/7/29, 46, 19, 6, , 
2018/7/30, 56, 19, 4, , 
2018/7/31, 61, 12, 2, , 
2018/8/1, 26, 12, 3, 1, 
2018/8/2, 25, 17, 3, , 
2018/8/3, 45, 21, 3, , 
2018/8/4, 57, 13, 2, , 
2018/8/5, 61, 10, 2, , 
2018/8/6, 30, 17, 4, , 
2018/8/7, 47, 13, 5, 1, 
2018/8/8, 71, 16, 7, , 11
2018/8/9, 133, 20, 10, 1, 11
2018/8/10, 154, 22, 7, 1, 11
2018/8/11, 148, 12, 5, 1, 11
2018/8/12, 191, 7, 1, , 
2018/8/13, 55, 9, 2, , 
2018/8/14, 15, 16, 4, , 
2018/8/15, 38, 12, 7, 1, 11
2018/8/16, 148, 9, 6, , 11
2018/8/17, 157, 17, 8, 1, 11
2018/8/18, 137, 13, 3, , 11
2018/8/19, 168, 12, 3, , 
2018/8/20, 84, 13, 9, , 
2018/8/21, 104, 19, 6, 1, 
2018/8/22, 94, 19, 7, , 
2018/8/23, 79, 10, 5, , 
2018/8/24, 72, 6, 3, , 
2018/8/25, 31, 10, 2, , 
2018/8/26, 39, 11, 3, , 
2018/8/27, 82, 6, 5, , 11
2018/8/28, 78, 11, 3, , 
2018/8/29, 13, 13, 6, , 
2018/8/30, 44, 12, 4, , 
2018/8/31, 62, 10, 5, , 
2018/9/1, 27, 11, 2, , 
2018/9/2, 68, 11, 6, , 11
2018/9/3, 40, 10, 4, , 
2018/9/4, 41, 9, 3, , 
2018/9/5, 28, 11, 8, , 11
2018/9/6, 36, 12, 7, , 
2018/9/7, 59, 12, 3, , 
2018/9/8, 39, 10, 5, , 
2018/9/9, 43, 9, 2, , 
2018/9/10, 30, 5, 4, , 11
2018/9/11, 17, 7, 2, , 
2018/9/12, 18, 11, 6, , 
2018/9/13, 24, 8, 3, , 
