date, pm25, o3, so2
2017/11/30, 15, , 1
2017/12/1, 19, , 5
2017/12/2, 67, , 1
2017/12/3, 47, , 2
2017/12/4, 62, , 
2017/12/5, 52, , 1
2017/12/6, 23, , 
2017/12/7, 15, , 4
2017/12/8, 11, , 4
2017/12/9, 26, , 
2017/12/10, 25, , 1
2017/12/11, 22, , 
2017/12/12, 32, , 3
2017/12/13, 16, , 2
2017/12/14, 19, , 
2017/12/15, 25, , 
2017/12/16, 23, , 
2017/12/17, 17, , 
2017/12/18, 44, , 1
2017/12/19, 68, , 
2017/12/20, 22, , 1
2017/12/21, 17, , 
2017/12/22, 17, , 
2017/12/23, 25, , 
2017/12/24, 38, , 1
2017/12/25, 52, , 
2017/12/26, 22, , 
2017/12/27, 28, , 1
2017/12/28, 34, , 5
2017/12/29, 60, , 
2017/12/30, 52, , 2
2017/12/31, 27, , 1
2018/1/1, 18, , 1
2017/7/2, 23, , 1
2017/7/3, 23, , 1
2017/7/4, 45, , 1
2017/7/5, 54, , 2
2017/7/6, 30, , 1
2017/7/7, 26, , 1
2017/7/8, 25, , 1
2017/7/9, 21, , 1
2017/7/10, 28, , 1
2017/7/11, 27, , 2
2017/7/12, 24, , 1
2017/7/13, 19, , 1
2017/7/14, 13, , 2
2017/7/15, 19, , 1
2017/7/16, 21, , 1
2017/7/17, 22, , 1
2017/7/18, 23, , 1
2017/7/19, 27, , 
2017/7/20, 41, , 2
2017/7/21, 33, , 1
2017/7/22, 50, , 1
2017/7/23, 38, , 2
2017/7/24, 20, , 1
2017/7/25, 16, , 1
2017/7/26, 22, , 2
2017/7/27, 28, , 1
2017/7/28, 22, , 1
2017/7/29, 27, , 1
2017/7/30, 28, , 2
2017/7/31, 36, , 4
2017/8/1, 38, , 2
2017/8/2, 37, , 1
2017/8/3, 30, , 1
2017/8/4, 16, , 2
2017/8/5, 17, , 1
2017/8/6, 25, , 2
2017/8/7, 22, , 1
2017/8/8, 21, , 2
2017/8/9, 30, , 4
2017/8/10, 36, , 1
2017/8/11, 32, , 2
2017/8/12, 16, , 1
2017/8/13, 26, , 3
2017/8/14, 44, , 3
2017/8/15, 37, , 1
2017/8/16, 33, , 1
2017/8/17, 32, , 3
2017/8/18, 21, , 1
2017/8/19, 18, , 2
2017/8/20, 51, , 1
2017/8/21, 46, , 2
2017/8/22, 45, , 3
2017/8/23, 22, , 2
2017/8/24, 24, , 1
2017/8/25, 12, , 1
2017/8/26, 17, , 1
2017/8/27, 30, , 1
2017/8/28, 39, , 1
2017/8/29, 38, , 1
2017/8/30, 47, , 2
2017/8/31, 40, , 1
2017/9/1, 19, , 
2017/9/2, 13, , 
2017/9/3, 21, , 2
2017/9/4, 44, , 3
2017/9/5, 61, , 
2017/9/6, 20, , 
2017/9/10, 30, , 
2017/9/11, 25, , 5
2017/9/12, 24, , 2
2017/9/13, 40, , 7
2017/9/14, 49, , 
2017/9/15, 107, , 1
2017/9/16, 43, , 
2017/9/17, 49, , 
2017/9/18, 32, , 1
2017/9/19, 10, , 
2017/9/20, 17, , 1
2017/9/21, 36, , 4
2017/9/22, 35, , 1
2017/9/23, 51, , 2
2017/9/24, 48, , 1
2017/9/25, 50, , 1
2017/9/26, 42, , 5
2017/9/27, 34, , 1
2017/9/28, 11, , 1
2017/9/29, 12, , 5
2017/9/30, 9, , 3
2017/10/1, 16, , 
2017/4/2, 36, , 3
2017/4/3, 35, , 1
2017/4/4, 31, , 1
2017/4/5, 23, , 1
2017/4/6, 21, , 
2017/4/7, 11, , 4
2017/4/8, 20, , 1
2017/4/9, 34, , 1
2017/4/10, 56, , 1
2017/4/11, 21, , 1
2017/4/12, 14, , 1
2017/4/13, 26, , 
2017/4/14, 18, , 1
2017/4/15, 29, , 2
2017/4/16, 46, , 1
2017/4/17, 17, , 
2017/4/18, 11, , 
2017/4/19, 22, , 1
2017/4/20, 16, , 
2017/4/21, 11, , 2
2017/4/22, 11, , 1
2017/4/23, 29, , 1
2017/4/24, 30, , 2
2017/4/25, 16, , 1
2017/4/26, 38, , 1
2017/4/27, 38, , 1
2017/4/28, 11, , 1
