date, pm25, pm10, o3, no2, so2
2021/5/30, 88, 56, 26, 8, 2
2021/5/31, 106, 58, 26, 11, 4
2021/6/1, 116, 70, 31, 11, 4
2021/6/2, 101, 62, 26, 8, 4
2021/6/3, 65, 54, 37, 8, 5
2021/6/4, 96, 56, 22, 6, 4
2021/6/5, 130, 62, 23, 8, 3
2021/6/6, 101, 64, 27, 8, 3
2021/6/7, 103, 64, 36, 12, 4
2021/6/8, 107, 98, 19, 8, 4
2021/6/9, 81, 110, 22, 6, 3
2021/6/10, 62, 65, 28, 5, 3
2021/6/11, 62, 58, 28, 5, 3
2021/6/12, 96, 76, 27, 4, 4
2021/6/13, 86, 88, 24, 5, 4
2021/6/14, 84, 78, 25, 4, 4
2021/6/15, 99, 83, 34, 6, 6
2021/6/16, 108, 105, 26, 9, 4
2021/6/17, 117, 106, 42, 8, 4
2021/6/18, 133, 134, 33, 4, 4
2021/6/19, 163, 185, 29, 3, 4
2021/6/20, 152, 248, 30, 5, 4
2021/6/21, 139, 126, 24, 7, 4
2021/6/22, 127, 112, 24, 10, 3
2021/6/23, 124, 127, 27, 11, 2
2021/6/24, 126, 136, 27, 15, 4
2021/6/25, 114, 116, 28, 12, 4
2021/6/26, 115, 99, 23, 8, 3
2021/6/27, 111, 90, 16, 12, 4
2021/6/28, 121, 112, 11, 14, 4
2021/6/29, 165, 299, 14, 7, 3
2021/6/30, 127, 187, 11, 12, 4
2021/7/1, 80, 105, 13, 11, 5
2021/1/5, 38, 37, 15, 23, 5
2021/1/6, 16, 43, 20, 26, 6
2021/1/7, 52, 53, 19, 19, 5
2021/1/8, 51, 73, 17, 9, 6
2021/1/9, 43, 79, 17, 13, 8
2021/1/10, 9, 43, 14, 19, 7
2021/1/11, 20, 36, 19, 24, 7
2021/1/12, 34, 45, 19, 21, 7
2021/1/13, 64, 42, 24, 14, 5
2021/1/14, 70, 47, 27, 11, 6
2021/1/15, 97, 52, 28, 18, 6
2021/1/16, 121, 51, 20, 19, 6
2021/1/17, 92, 53, 20, 29, 6
2021/1/18, 101, 77, 19, 32, 6
2021/1/19, 116, 75, 19, 14, 5
2021/1/20, 72, 48, 16, 18, 5
2021/1/21, 65, 48, 20, 12, 5
2021/1/22, 71, 54, 20, 3, 5
2021/1/23, 31, 72, 17, 9, 5
2021/1/24, 102, 220, 17, 15, 4
2021/1/25, 100, 118, 22, 12, 4
2021/1/26, 80, 68, 20, 9, 4
2021/1/27, 83, 65, 13, 9, 4
2021/1/28, 82, 73, 13, 26, 3
2021/1/29, 93, 71, 22, 20, 5
2021/1/30, 86, 74, 15, 21, 4
2021/1/31, 68, 72, 21, 15, 4
